gene,gene_name,zscore,effect_size,pvalue,var_g,pred_perf_r2,pred_perf_pval,pred_perf_qval,n_snps_used,n_snps_in_cov,n_snps_in_model,best_gwas_p,largest_weight
ENSG00000011347.9,SYT7,0.5295678377151489,NA,0.5964115985270384,0.011250441866598048,NA,NA,NA,1,1,1,0.5964115985270384,0.18686924999841198
ENSG00000146090.15,RASGEF1C,-0.5295255780220032,NA,0.5964409057071339,4.1888064874231395e-06,NA,NA,NA,1,1,1,0.5964409057071339,0.0073002527425859096
ENSG00000182670.13,TTC3,-0.529398935244525,NA,0.596528736649182,0.1893190636235378,NA,NA,NA,2,2,2,0.5561832399704283,0.609783444629411
ENSG00000238142.1,RP11-108M9.4,-0.5290952709635953,NA,0.5967393618276948,0.17127519630889537,NA,NA,NA,4,6,6,0.5044502474819275,0.707231982278332
ENSG00000068650.18,ATP11A,0.5289397629952308,NA,0.5968472371194321,0.0004479612285677374,NA,NA,NA,2,2,2,0.44488926612337254,0.0293664682472159
ENSG00000172663.8,TMEM134,0.5289043188095093,NA,0.5968718258593362,1.7798634700714906e-09,NA,NA,NA,1,1,1,0.5968718258593362,0.000247764658518658
ENSG00000272512.1,RP11-54O7.17,0.5288268552692009,NA,0.5969255663439357,0.912294879171452,NA,NA,NA,3,3,3,0.5406261045930906,0.695048613949439
ENSG00000102452.15,NALCN,0.528616786451653,NA,0.597071313081871,0.020952474202516728,NA,NA,NA,3,3,3,0.49455635673522524,0.157058674539974
ENSG00000182004.12,SNRPE,0.5285501625151732,NA,0.5971175404645898,0.0047545847443836884,NA,NA,NA,2,2,2,0.5093488300191886,0.13426976820956402
ENSG00000134001.12,EIF2S1,-0.5284868514235189,NA,0.5971614707202872,0.00411331972628651,NA,NA,NA,2,2,2,0.26158955300503073,0.12347576436102001
ENSG00000113593.11,PPWD1,0.5284813530560157,NA,0.5971652859930314,0.03832028854727831,NA,NA,NA,3,3,3,0.16273609849351434,0.273979964816937
ENSG00000272911.1,RP11-74E22.6,-0.528356671333313,NA,0.5972518046079764,0.14915046223181547,NA,NA,NA,1,1,1,0.5972518046079764,0.573030284907167
ENSG00000253846.2,PCDHGA10,-0.5281987342921955,NA,0.5973614077958619,0.003411907197955229,NA,NA,NA,3,3,3,0.03626700178855651,0.12209251121568801
ENSG00000175309.14,PHYKPL,-0.5280876981061047,NA,0.5974384687844233,0.013826864215826625,NA,NA,NA,5,5,5,0.09767566582420498,0.5494722684649289
ENSG00000183775.10,KCTD16,-0.5280544757843018,NA,0.597461526515189,0.0007561915591587935,NA,NA,NA,1,1,1,0.597461526515189,0.0493591683767703
ENSG00000215193.12,PEX26,-0.5278594493865968,NA,0.5975968914417642,0.0004366716482097916,NA,NA,NA,1,1,1,0.5975968914417644,0.0455099081992441
ENSG00000163060.7,TEKT4,-0.5278433561325073,NA,0.5976080621529372,2.455921883346694e-06,NA,NA,NA,1,1,1,0.5976080621529372,0.006863425416964979
ENSG00000139410.14,SDSL,0.5276176703542812,NA,0.5977647260250831,0.008359083759129818,NA,NA,NA,2,2,2,0.20090652785396879,0.267813886326284
ENSG00000203785.8,SPRR2E,0.5274683833122253,NA,0.5978683665824471,0.0003080331725283445,NA,NA,NA,1,1,1,0.5978683665824471,0.0559794616696804
ENSG00000198168.8,SVIP,0.5274560658677492,NA,0.597876918170098,0.24008074240626603,NA,NA,NA,3,3,3,0.1523604293447532,0.43184996548691207
ENSG00000245954.6,RP11-18H21.1,-0.5274149094854328,NA,0.5979054920658301,0.3783763797356836,NA,NA,NA,2,2,2,0.25406556565255367,0.6331412234438599
ENSG00000008128.22,CDK11A,-0.5272708584608286,NA,0.5980055081447674,0.23594389210362166,NA,NA,NA,3,5,5,0.25478189657620287,1.69097806191066
ENSG00000162738.5,VANGL2,0.5272645045238836,NA,0.5980099199222058,0.0008510766219207984,NA,NA,NA,2,2,2,0.558601076360346,0.0857000098052015
ENSG00000122861.15,PLAU,0.5271732807159424,NA,0.5980732616729871,0.007448131185423712,NA,NA,NA,1,1,1,0.5980732616729871,0.12441458623620599
ENSG00000160886.13,LY6K,0.5268520657436564,NA,0.598296323293834,0.23512380683559125,NA,NA,NA,2,2,2,0.591511127788567,0.443042937770466
ENSG00000255670.1,RP11-253I19.3,-0.5267387670479156,NA,0.5983750104229186,0.04237067042185428,NA,NA,NA,2,2,2,0.5425844350958677,0.264307532677602
ENSG00000122543.10,OCM,-0.5267246895966576,NA,0.5983847876880523,0.026520148860610958,NA,NA,NA,2,2,2,0.597713485240918,0.7430340991974029
ENSG00000204882.3,GPR20,0.5266052189457078,NA,0.598467767006578,0.007938464713577186,NA,NA,NA,2,2,2,0.4564083288450791,0.22412868150592302
ENSG00000126777.17,KTN1,0.5264868941797717,NA,0.5985499555871343,0.0003607794853851216,NA,NA,NA,2,2,2,0.13403422322245576,0.0452920549422368
ENSG00000188305.5,C19orf35,0.52637854444509,NA,0.5986252199852404,0.007678536437052837,NA,NA,NA,2,2,2,0.4858983490178156,0.255858082012255
ENSG00000118402.5,ELOVL4,-0.526245023171767,NA,0.5987179755239092,0.037376640972383066,NA,NA,NA,2,2,2,0.07311838840495832,0.315929477921816
ENSG00000092140.14,G2E3,-0.5261890060721571,NA,0.5987568918348964,0.004781217396352968,NA,NA,NA,2,2,2,0.499339049683187,0.387328476406406
ENSG00000176454.13,LPCAT4,-0.5261162305559635,NA,0.5988074522996001,0.03094610135045992,NA,NA,NA,2,3,3,0.3372965579317273,0.1565418962769
ENSG00000224635.1,RP4-564F22.5,0.526028037071228,NA,0.598868726923605,0.30430932119478143,NA,NA,NA,1,1,1,0.598868726923605,0.9277754386631991
ENSG00000275401.1,RP4-564F22.7,0.526028037071228,NA,0.598868726923605,0.04123192524406855,NA,NA,NA,1,1,1,0.598868726923605,0.34150891897099606
ENSG00000213190.3,MLLT11,0.5255612479856978,NA,0.5991930876197875,0.009061313957991693,NA,NA,NA,2,2,2,0.5001880732806261,0.15730420058090697
ENSG00000149269.9,PAK1,-0.5253539085388184,NA,0.5993371884267453,6.478573289553957e-05,NA,NA,NA,1,1,1,0.5993371884267453,0.0404113322101019
ENSG00000253105.5,KB-1448A5.1,-0.5253149271011354,NA,0.599364282258678,4.792062475712656e-09,NA,NA,NA,1,1,1,0.599364282258678,0.000100654575513742
ENSG00000084463.7,WBP11,0.5249949196749495,NA,0.599586722614031,0.016623932653403815,NA,NA,NA,4,4,4,0.2526267294643796,0.141937878986126
ENSG00000258876.1,RP11-270M14.5,-0.5247523784637451,NA,0.5997553403289742,5.307619792384204e-09,NA,NA,NA,1,2,2,0.5997553403289742,0.000142559066689667
